components,difference,q
1216393,-72905,0.800000
1055432,-160961,0.850000
800926,-254506,0.900000
449736,-351190,0.950000
0,-449736,1.000000
1,1,0.000000
61,60,0.050000
939,878,0.100000
4805,3866,0.150000
14361,9556,0.200000
35458,21097,0.250000
73409,37951,0.300000
140532,67123,0.350000
255126,114594,0.400000
438993,183867,0.450000
658479,219486,0.500000
873819,215340,0.550000
1061901,188082,0.600000
1202747,140846,0.650000
1280937,78190,0.700000
1289613,8676,0.750000
1216224,-73389,0.800000
1055100,-161124,0.850000
800657,-254443,0.900000
449104,-351553,0.950000
0,-449104,1.000000
1,1,0.000000
66,65,0.050000
1006,940,0.100000
4607,3601,0.150000
14113,9506,0.200000
34879,20766,0.250000
73207,38328,0.300000
139961,66754,0.350000
254934,114973,0.400000
440094,185160,0.450000
659493,219399,0.500000
874368,214875,0.550000
1062836,188468,0.600000
1201343,138507,0.650000
1283103,81760,0.700000
1289032,5929,0.750000
1215348,-73684,0.800000
1055254,-160094,0.850000
801996,-253258,0.900000
449519,-352477,0.950000
0,-449519,1.000000
1,1,0.000000
72,71,0.050000
978,906,0.100000
4639,3661,0.150000
14228,9589,0.200000
34662,20434,0.250000
74093,39431,0.300000
140793,66700,0.350000
255409,114616,0.400000
438993,183584,0.450000
659088,220095,0.500000
874520,215432,0.550000
1060663,186143,0.600000
1201877,141214,0.650000
1281660,79783,0.700000
1290744,9084,0.750000
1215267,-75477,0.800000
1054345,-160922,0.850000
800436,-253909,0.900000
450629,-349807,0.950000
0,-450629,1.000000
1,1,0.000000
75,74,0.050000
902,827,0.100000
4584,3682,0.150000
14454,9870,0.200000
34474,20020,0.250000
73324,38850,0.300000
141124,67800,0.350000
254295,113171,0.400000
438664,184369,0.450000
659344,220680,0.500000
873908,214564,0.550000
1062466,188558,0.600000
1201065,138599,0.650000
1281991,80926,0.700000
1289239,7248,0.750000
1216253,-72986,0.800000
1055496,-160757,0.850000
801352,-254144,0.900000
450865,-350487,0.950000
0,-450865,1.000000
1,1,0.000000
58,57,0.050000
935,877,0.100000
4763,3828,0.150000
14521,9758,0.200000
35085,20564,0.250000
73185,38100,0.300000
140552,67367,0.350000
253810,113258,0.400000
439544,185734,0.450000
660722,221178,0.500000
874204,213482,0.550000
1062146,187942,0.600000
1201836,139690,0.650000
1282007,80171,0.700000
1288204,6197,0.750000
1216344,-71860,0.800000
1054986,-161358,0.850000
800940,-254046,0.900000
449147,-351793,0.950000
0,-449147,1.000000
1,1,0.000000
68,67,0.050000
959,891,0.100000
4694,3735,0.150000
14363,9669,0.200000
34957,20594,0.250000
73058,38101,0.300000
139912,66854,0.350000
254219,114307,0.400000
439004,184785,0.450000
657401,218397,0.500000
873895,216494,0.550000
1062520,188625,0.600000
1201348,138828,0.650000
1280778,79430,0.700000
1289047,8269,0.750000
1216855,-72192,0.800000
1054631,-162224,0.850000
802178,-252453,0.900000
449176,-353002,0.950000
0,-449176,1.000000
1,1,0.000000
72,71,0.050000
974,902,0.100000
4788,3814,0.150000
14385,9597,0.200000
34784,20399,0.250000
73233,38449,0.300000
140857,67624,0.350000
254524,113667,0.400000
439216,184692,0.450000
658360,219144,0.500000
874106,215746,0.550000
1064275,190169,0.600000
1201440,137165,0.650000
1281804,80364,0.700000
1288884,7080,0.750000
1215898,-72986,0.800000
1055833,-160065,0.850000
801282,-254551,0.900000
449504,-351778,0.950000
0,-449504,1.000000
1,1,0.000000
77,76,0.050000
982,905,0.100000
4576,3594,0.150000
14130,9554,0.200000
35044,20914,0.250000
73376,38332,0.300000
141195,67819,0.350000
255243,114048,0.400000
439634,184391,0.450000
660708,221074,0.500000
875029,214321,0.550000
1062596,187567,0.600000
1203838,141242,0.650000
1281086,77248,0.700000
1289384,8298,0.750000
1215285,-74099,0.800000
1055509,-159776,0.850000
801507,-254002,0.900000
449629,-351878,0.950000
0,-449629,1.000000
1,1,0.000000
76,75,0.050000
992,916,0.100000
4717,3725,0.150000
14281,9564,0.200000
34872,20591,0.250000
73063,38191,0.300000
140639,67576,0.350000
254317,113678,0.400000
439900,185583,0.450000
659087,219187,0.500000
875820,216733,0.550000
1061109,185289,0.600000
1202719,141610,0.650000
1281481,78762,0.700000
1289541,8060,0.750000
1216076,-73465,0.800000
1054836,-161240,0.850000
800421,-254415,0.900000
450457,-349964,0.950000
0,-450457,1.000000
1,1,0.000000
81,80,0.050000
930,849,0.100000
4626,3696,0.150000
14360,9734,0.200000
35015,20655,0.250000
73468,38453,0.300000
140922,67454,0.350000
254269,113347,0.400000
438550,184281,0.450000
657880,219330,0.500000
874385,216505,0.550000
1062206,187821,0.600000
1202285,140079,0.650000
1282817,80532,0.700000
1288883,6066,0.750000
1217169,-71714,0.800000
1054541,-162628,0.850000
800618,-253923,0.900000
450841,-349777,0.950000
0,-450841,1.000000
1,1,0.000000
68,67,0.050000
1001,933,0.100000
4661,3660,0.150000
14297,9636,0.200000
35115,20818,0.250000
72842,37727,0.300000
140152,67310,0.350000
253910,113758,0.400000
440133,186223,0.450000
660412,220279,0.500000
873776,213364,0.550000
1061576,187800,0.600000
1203228,141652,0.650000
1281857,78629,0.700000
1288813,6956,0.750000
1216498,-72315,0.800000
1055234,-161264,0.850000
800370,-254864,0.900000
449491,-350879,0.950000
0,-449491,1.000000
1,1,0.000000
78,77,0.050000
975,897,0.100000
4631,3656,0.150000
14310,9679,0.200000
34998,20688,0.250000
72752,37754,0.300000
141336,68584,0.350000
255818,114482,0.400000
440038,184220,0.450000
659280,219242,0.500000
876675,217395,0.550000
1060589,183914,0.600000
1202999,142410,0.650000
1281897,78898,0.700000
1289652,7755,0.750000
1216917,-72735,0.800000
1054405,-162512,0.850000
802883,-251522,0.900000
450116,-352767,0.950000
0,-450116,1.000000
1,1,0.000000
68,67,0.050000
978,910,0.100000
4668,3690,0.150000
14209,9541,0.200000
34612,20403,0.250000
72784,38172,0.300000
140374,67590,0.350000
254327,113953,0.400000
438768,184441,0.450000
658875,220107,0.500000
877687,218812,0.550000
1063094,185407,0.600000
1203480,140386,0.650000
1281209,77729,0.700000
1289402,8193,0.750000
1216026,-73376,0.800000
1055895,-160131,0.850000
800465,-255430,0.900000
450690,-349775,0.950000
0,-450690,1.000000
1,1,0.000000
82,81,0.050000
1031,949,0.100000
4558,3527,0.150000
14628,10070,0.200000
34982,20354,0.250000
72794,37812,0.300000
141075,68281,0.350000
254736,113661,0.400000
439177,184441,0.450000
658154,218977,0.500000
876335,218181,0.550000
1062732,186397,0.600000
1204748,142016,0.650000
1281239,76491,0.700000
1289321,8082,0.750000
1216674,-72647,0.800000
1055448,-161226,0.850000
801168,-254280,0.900000
449375,-351793,0.950000
0,-449375,1.000000
1,1,0.000000
73,72,0.050000
981,908,0.100000
4625,3644,0.150000
14042,9417,0.200000
34918,20876,0.250000
73214,38296,0.300000
140481,67267,0.350000
254900,114419,0.400000
440655,185755,0.450000
658765,218110,0.500000
874662,215897,0.550000
1061081,186419,0.600000
1202678,141597,0.650000
1281266,78588,0.700000
1289467,8201,0.750000
1216791,-72676,0.800000
1054690,-162101,0.850000
801312,-253378,0.900000
450340,-350972,0.950000
0,-450340,1.000000
1,1,0.000000
83,82,0.050000
1008,925,0.100000
4623,3615,0.150000
14289,9666,0.200000
34911,20622,0.250000
73304,38393,0.300000
140473,67169,0.350000
254883,114410,0.400000
439326,184443,0.450000
658865,219539,0.500000
874727,215862,0.550000
1063224,188497,0.600000
1202207,138983,0.650000
1281988,79781,0.700000
1288950,6962,0.750000
1215409,-73541,0.800000
1054060,-161349,0.850000
801242,-252818,0.900000
450551,-350691,0.950000
0,-450551,1.000000
1,1,0.000000
85,84,0.050000
904,819,0.100000
4679,3775,0.150000
14241,9562,0.200000
34671,20430,0.250000
73659,38988,0.300000
141146,67487,0.350000
255094,113948,0.400000
439393,184299,0.450000
659819,220426,0.500000
876491,216672,0.550000
1063652,187161,0.600000
1203055,139403,0.650000
1281651,78596,0.700000
1288602,6951,0.750000
1214599,-74003,0.800000
1055125,-159474,0.850000
801053,-254072,0.900000
449722,-351331,0.950000
0,-449722,1.000000
1,1,0.000000
87,86,0.050000
931,844,0.100000
4566,3635,0.150000
14236,9670,0.200000
34627,20391,0.250000
73486,38859,0.300000
139969,66483,0.350000
254572,114603,0.400000
439525,184953,0.450000
659545,220020,0.500000
874074,214529,0.550000
1063288,189214,0.600000
1201668,138380,0.650000
1282881,81213,0.700000
1289037,6156,0.750000
1216744,-72293,0.800000
1054399,-162345,0.850000
801815,-252584,0.900000
450043,-351772,0.950000
0,-450043,1.000000
1,1,0.000000
76,75,0.050000
951,875,0.100000
4746,3795,0.150000
14275,9529,0.200000
35069,20794,0.250000
72983,37914,0.300000
140499,67516,0.350000
255508,115009,0.400000
440509,185001,0.450000
657979,217470,0.500000
877794,219815,0.550000
1061147,183353,0.600000
1202795,141648,0.650000
1282728,79933,0.700000
1289421,6693,0.750000
1216392,-73029,0.800000
1055207,-161185,0.850000
801855,-253352,0.900000
449899,-351956,0.950000
0,-449899,1.000000
1,1,0.000000
74,73,0.050000
924,850,0.100000
4803,3879,0.150000
14437,9634,0.200000
35137,20700,0.250000
73442,38305,0.300000
140854,67412,0.350000
255807,114953,0.400000
440108,184301,0.450000
658507,218399,0.500000
875336,216829,0.550000
1061249,185913,0.600000
1201872,140623,0.650000
1281606,79734,0.700000
1288375,6769,0.750000
1215619,-72756,0.800000
1054280,-161339,0.850000
800384,-253896,0.900000
451086,-349298,0.950000
0,-451086,1.000000
1,1,0.000000
74,73,0.050000
989,915,0.100000
4720,3731,0.150000
14276,9556,0.200000
35041,20765,0.250000
73274,38233,0.300000
140784,67510,0.350000
255129,114345,0.400000
440402,185273,0.450000
658021,217619,0.500000
875374,217353,0.550000
1061432,186058,0.600000
1202818,141386,0.650000
1283799,80981,0.700000
1289324,5525,0.750000
1216239,-73085,0.800000
1055326,-160913,0.850000
800098,-255228,0.900000
449715,-350383,0.950000
0,-449715,1.000000
1,1,0.000000
75,74,0.050000
974,899,0.100000
4652,3678,0.150000
14334,9682,0.200000
35200,20866,0.250000
73332,38132,0.300000
140914,67582,0.350000
254121,113207,0.400000
438718,184597,0.450000
659187,220469,0.500000
873430,214243,0.550000
1062194,188764,0.600000
1203090,140896,0.650000
1282085,78995,0.700000
1289796,7711,0.750000
1215294,-74502,0.800000
1054496,-160798,0.850000
800997,-253499,0.900000
450864,-350133,0.950000
0,-450864,1.000000
1,1,0.000000
66,65,0.050000
951,885,0.100000
4623,3672,0.150000
14330,9707,0.200000
34748,20418,0.250000
72834,38086,0.300000
140073,67239,0.350000
255015,114942,0.400000
438907,183892,0.450000
658928,220021,0.500000
873762,214834,0.550000
1063451,189689,0.600000
1203190,139739,0.650000
1282641,79451,0.700000
1288230,5589,0.750000
1216863,-71367,0.800000
1054869,-161994,0.850000
800989,-253880,0.900000
450256,-350733,0.950000
0,-450256,1.000000
1,1,0.000000
74,73,0.050000
