components,difference,q
1215369,-73809,0.800000
1054766,-160603,0.850000
801579,-253187,0.900000
450106,-351473,0.950000
0,-450106,1.000000
1,1,0.000000
210,209,0.050000
1182,972,0.100000
5028,3846,0.150000
14863,9835,0.200000
35479,20616,0.250000
73618,38139,0.300000
140551,66933,0.350000
255466,114915,0.400000
440301,184835,0.450000
659482,219181,0.500000
877797,218315,0.550000
1062246,184449,0.600000
1202134,139888,0.650000
1281479,79345,0.700000
1288461,6982,0.750000
1217166,-71295,0.800000
1055426,-161740,0.850000
801415,-254011,0.900000
449899,-351516,0.950000
0,-449899,1.000000
1,1,0.000000
205,204,0.050000
1178,973,0.100000
4855,3677,0.150000
14884,10029,0.200000
35645,20761,0.250000
73615,37970,0.300000
141384,67769,0.350000
255542,114158,0.400000
439268,183726,0.450000
657918,218650,0.500000
876091,218173,0.550000
1063102,187011,0.600000
1203438,140336,0.650000
1282191,78753,0.700000
1288389,6198,0.750000
1214936,-73453,0.800000
1054986,-159950,0.850000
800504,-254482,0.900000
451111,-349393,0.950000
0,-451111,1.000000
1,1,0.000000
231,230,0.050000
1217,986,0.100000
4987,3770,0.150000
14623,9636,0.200000
34953,20330,0.250000
73823,38870,0.300000
140780,66957,0.350000
254988,114208,0.400000
442391,187403,0.450000
658268,215877,0.500000
876345,218077,0.550000
1061582,185237,0.600000
1202194,140612,0.650000
1282993,80799,0.700000
1289259,6266,0.750000
1215615,-73644,0.800000
1055464,-160151,0.850000
800855,-254609,0.900000
449817,-351038,0.950000
0,-449817,1.000000
1,1,0.000000
215,214,0.050000
1191,976,0.100000
4888,3697,0.150000
14695,9807,0.200000
35643,20948,0.250000
73703,38060,0.300000
140588,66885,0.350000
254471,113883,0.400000
439639,185168,0.450000
659216,219577,0.500000
875731,216515,0.550000
1060984,185253,0.600000
1202830,141846,0.650000
1282433,79603,0.700000
1290903,8470,0.750000
1215207,-75696,0.800000
1055273,-159934,0.850000
800968,-254305,0.900000
450402,-350566,0.950000
0,-450402,1.000000
1,1,0.000000
201,200,0.050000
1175,974,0.100000
5036,3861,0.150000
14711,9675,0.200000
35285,20574,0.250000
73705,38420,0.300000
140727,67022,0.350000
255204,114477,0.400000
439278,184074,0.450000
658899,219621,0.500000
874961,216062,0.550000
1062727,187766,0.600000
1202073,139346,0.650000
1282492,80419,0.700000
1288734,6242,0.750000
1216197,-72537,0.800000
1054749,-161448,0.850000
800768,-253981,0.900000
449951,-350817,0.950000
0,-449951,1.000000
1,1,0.000000
